component_family,component_uid,parent_control_point_uid,component_name,component_secondary_name,component_detail_name,component_codeline,reference_column,reference_kind,raw_reference_value,raw_reference_part,part_index,reference_format,token_count,token_1,token_2,token_3,token_4,expected_word_type,component_scope_code_line,unique_cp_scope_code_line,trailing_scope_code_line,component_scope_candidate_count,unique_cp_scope_candidate_count,trailing_scope_candidate_count,preferred_scope_source,preferred_scope_code_line,preferred_scope_candidate_count,preferred_scope_candidate_examples,scope_source_key,has_resolved_sibling_in_same_field,resolved_sibling_count,resolved_sibling_examples,structural_class
control_point,100000,100000,CARL,NULL,CP Carl,5,CPIND6,indication,0;1;100000,0;1;100000,1,code_line_station_control_point,3,0,1,100000,,I,5,5,,16,16,0,component_codeline,5,16,1=1NWK:1 NORMAL SWITCH INDICATION|2=1TK:1 OS TRACK INDICATION|3=1RWK:1 REVERSE SWITCH INDICATION|4=EAK:EAK|5=EGK:EASTBOUND SIGNAL INDICATION|6=WAAK:WAAK|7=WGK:WESTBOUND SIGNAL INDICATION|8=POK:POWER OFF INDICATION,component_codeline+unique_cp_line,False,0,,scoped_zero_first_without_resolved_sibling
control_point,100000,100000,CARL,NULL,CP Carl,5,CPIND7,indication,0;1;100000,0;1;100000,1,code_line_station_control_point,3,0,1,100000,,I,5,5,,16,16,0,component_codeline,5,16,1=1NWK:1 NORMAL SWITCH INDICATION|2=1TK:1 OS TRACK INDICATION|3=1RWK:1 REVERSE SWITCH INDICATION|4=EAK:EAK|5=EGK:EASTBOUND SIGNAL INDICATION|6=WAAK:WAAK|7=WGK:WESTBOUND SIGNAL INDICATION|8=POK:POWER OFF INDICATION,component_codeline+unique_cp_line,False,0,,scoped_zero_first_without_resolved_sibling
control_point,100000,100000,CARL,NULL,CP Carl,5,CPIND8,indication,0;1;100000,0;1;100000,1,code_line_station_control_point,3,0,1,100000,,I,5,5,,16,16,0,component_codeline,5,16,1=1NWK:1 NORMAL SWITCH INDICATION|2=1TK:1 OS TRACK INDICATION|3=1RWK:1 REVERSE SWITCH INDICATION|4=EAK:EAK|5=EGK:EASTBOUND SIGNAL INDICATION|6=WAAK:WAAK|7=WGK:WESTBOUND SIGNAL INDICATION|8=POK:POWER OFF INDICATION,component_codeline+unique_cp_line,False,0,,scoped_zero_first_without_resolved_sibling
control_point,100000,100000,CARL,NULL,CP Carl,5,CPIND9,indication,0;1;100000,0;1;100000,1,code_line_station_control_point,3,0,1,100000,,I,5,5,,16,16,0,component_codeline,5,16,1=1NWK:1 NORMAL SWITCH INDICATION|2=1TK:1 OS TRACK INDICATION|3=1RWK:1 REVERSE SWITCH INDICATION|4=EAK:EAK|5=EGK:EASTBOUND SIGNAL INDICATION|6=WAAK:WAAK|7=WGK:WESTBOUND SIGNAL INDICATION|8=POK:POWER OFF INDICATION,component_codeline+unique_cp_line,False,0,,scoped_zero_first_without_resolved_sibling
control_point,100000,100000,CARL,NULL,CP Carl,5,ScadaAlarmReportingIndicationBit,indication,0;1;100000,0;1;100000,1,code_line_station_control_point,3,0,1,100000,,I,5,5,,16,16,0,component_codeline,5,16,1=1NWK:1 NORMAL SWITCH INDICATION|2=1TK:1 OS TRACK INDICATION|3=1RWK:1 REVERSE SWITCH INDICATION|4=EAK:EAK|5=EGK:EASTBOUND SIGNAL INDICATION|6=WAAK:WAAK|7=WGK:WESTBOUND SIGNAL INDICATION|8=POK:POWER OFF INDICATION,component_codeline+unique_cp_line,False,0,,scoped_zero_first_without_resolved_sibling
control_point,100001,100001,SONGS,NULL,CP Songs,5,CPCTL1,control,0;1;100001,0;1;100001,1,code_line_station_control_point,3,0,1,100001,,C,5,5,,16,16,0,component_codeline,5,16,1=1NWS:NORMAL SWITCH CONTROL|2=BLANK:BLANK CONTROL|3=1RWS:REVERSE SWITCH CONTROL|4=BLANK:BLANK CONTROL|5=EGHS:EASTBOUND SIGNAL CONTROL|6=BLANK:BLANK|7=WGHS:WESTBOUND SIGNAL CONTROL|8=BLANK:BLANK CONTROL,component_codeline+unique_cp_line,False,0,,scoped_zero_first_without_resolved_sibling
control_point,100001,100001,SONGS,NULL,CP Songs,5,CPCTL2,control,0;1;100001,0;1;100001,1,code_line_station_control_point,3,0,1,100001,,C,5,5,,16,16,0,component_codeline,5,16,1=1NWS:NORMAL SWITCH CONTROL|2=BLANK:BLANK CONTROL|3=1RWS:REVERSE SWITCH CONTROL|4=BLANK:BLANK CONTROL|5=EGHS:EASTBOUND SIGNAL CONTROL|6=BLANK:BLANK|7=WGHS:WESTBOUND SIGNAL CONTROL|8=BLANK:BLANK CONTROL,component_codeline+unique_cp_line,False,0,,scoped_zero_first_without_resolved_sibling
control_point,100001,100001,SONGS,NULL,CP Songs,5,CPCTL3,control,0;1;100001,0;1;100001,1,code_line_station_control_point,3,0,1,100001,,C,5,5,,16,16,0,component_codeline,5,16,1=1NWS:NORMAL SWITCH CONTROL|2=BLANK:BLANK CONTROL|3=1RWS:REVERSE SWITCH CONTROL|4=BLANK:BLANK CONTROL|5=EGHS:EASTBOUND SIGNAL CONTROL|6=BLANK:BLANK|7=WGHS:WESTBOUND SIGNAL CONTROL|8=BLANK:BLANK CONTROL,component_codeline+unique_cp_line,False,0,,scoped_zero_first_without_resolved_sibling
control_point,100001,100001,SONGS,NULL,CP Songs,5,CPCTL4,control,0;1;100001,0;1;100001,1,code_line_station_control_point,3,0,1,100001,,C,5,5,,16,16,0,component_codeline,5,16,1=1NWS:NORMAL SWITCH CONTROL|2=BLANK:BLANK CONTROL|3=1RWS:REVERSE SWITCH CONTROL|4=BLANK:BLANK CONTROL|5=EGHS:EASTBOUND SIGNAL CONTROL|6=BLANK:BLANK|7=WGHS:WESTBOUND SIGNAL CONTROL|8=BLANK:BLANK CONTROL,component_codeline+unique_cp_line,False,0,,scoped_zero_first_without_resolved_sibling
control_point,100001,100001,SONGS,NULL,CP Songs,5,CPCTL5,control,0;1;100001,0;1;100001,1,code_line_station_control_point,3,0,1,100001,,C,5,5,,16,16,0,component_codeline,5,16,1=1NWS:NORMAL SWITCH CONTROL|2=BLANK:BLANK CONTROL|3=1RWS:REVERSE SWITCH CONTROL|4=BLANK:BLANK CONTROL|5=EGHS:EASTBOUND SIGNAL CONTROL|6=BLANK:BLANK|7=WGHS:WESTBOUND SIGNAL CONTROL|8=BLANK:BLANK CONTROL,component_codeline+unique_cp_line,False,0,,scoped_zero_first_without_resolved_sibling
control_point,100001,100001,SONGS,NULL,CP Songs,5,CPIND10,indication,0;1;100001,0;1;100001,1,code_line_station_control_point,3,0,1,100001,,I,5,5,,16,16,0,component_codeline,5,16,1=1NWK:NORMAL SWITCH INDICATION|2=TK:OS TRACK INDICATION|3=1RWK:REVERSE SWITCH INDICATION|4=EAK:EAK|5=EGK:EASTBOUND SIGNAL INDICATION|6=WAAK:WAAK|7=WGK:WESTBOUND SIGNAL INDICATION|8=POK:POWER OFF INDICATION,component_codeline+unique_cp_line,False,0,,scoped_zero_first_without_resolved_sibling
control_point,100001,100001,SONGS,NULL,CP Songs,5,CPIND11,indication,0;0;100001;5,0;0;100001;5,1,code_line_station_control_point_bit,4,0,0,100001,5,I,5,5,5,0,0,0,,,0,,none,False,0,,unscoped_zero_first_without_resolved_sibling
control_point,100001,100001,SONGS,NULL,CP Songs,5,CPIND12,indication,0;0;100001;5,0;0;100001;5,1,code_line_station_control_point_bit,4,0,0,100001,5,I,5,5,5,0,0,0,,,0,,none,False,0,,unscoped_zero_first_without_resolved_sibling
control_point,100001,100001,SONGS,NULL,CP Songs,5,CPIND13,indication,0;0;100001;5,0;0;100001;5,1,code_line_station_control_point_bit,4,0,0,100001,5,I,5,5,5,0,0,0,,,0,,none,False,0,,unscoped_zero_first_without_resolved_sibling
control_point,100001,100001,SONGS,NULL,CP Songs,5,CPIND4,indication,0;1;100001,0;1;100001,1,code_line_station_control_point,3,0,1,100001,,I,5,5,,16,16,0,component_codeline,5,16,1=1NWK:NORMAL SWITCH INDICATION|2=TK:OS TRACK INDICATION|3=1RWK:REVERSE SWITCH INDICATION|4=EAK:EAK|5=EGK:EASTBOUND SIGNAL INDICATION|6=WAAK:WAAK|7=WGK:WESTBOUND SIGNAL INDICATION|8=POK:POWER OFF INDICATION,component_codeline+unique_cp_line,False,0,,scoped_zero_first_without_resolved_sibling
control_point,100001,100001,SONGS,NULL,CP Songs,5,CPIND5,indication,0;1;100001,0;1;100001,1,code_line_station_control_point,3,0,1,100001,,I,5,5,,16,16,0,component_codeline,5,16,1=1NWK:NORMAL SWITCH INDICATION|2=TK:OS TRACK INDICATION|3=1RWK:REVERSE SWITCH INDICATION|4=EAK:EAK|5=EGK:EASTBOUND SIGNAL INDICATION|6=WAAK:WAAK|7=WGK:WESTBOUND SIGNAL INDICATION|8=POK:POWER OFF INDICATION,component_codeline+unique_cp_line,False,0,,scoped_zero_first_without_resolved_sibling
control_point,100001,100001,SONGS,NULL,CP Songs,5,CPIND6,indication,0;1;100001,0;1;100001,1,code_line_station_control_point,3,0,1,100001,,I,5,5,,16,16,0,component_codeline,5,16,1=1NWK:NORMAL SWITCH INDICATION|2=TK:OS TRACK INDICATION|3=1RWK:REVERSE SWITCH INDICATION|4=EAK:EAK|5=EGK:EASTBOUND SIGNAL INDICATION|6=WAAK:WAAK|7=WGK:WESTBOUND SIGNAL INDICATION|8=POK:POWER OFF INDICATION,component_codeline+unique_cp_line,False,0,,scoped_zero_first_without_resolved_sibling
control_point,100001,100001,SONGS,NULL,CP Songs,5,CPIND7,indication,0;1;100001,0;1;100001,1,code_line_station_control_point,3,0,1,100001,,I,5,5,,16,16,0,component_codeline,5,16,1=1NWK:NORMAL SWITCH INDICATION|2=TK:OS TRACK INDICATION|3=1RWK:REVERSE SWITCH INDICATION|4=EAK:EAK|5=EGK:EASTBOUND SIGNAL INDICATION|6=WAAK:WAAK|7=WGK:WESTBOUND SIGNAL INDICATION|8=POK:POWER OFF INDICATION,component_codeline+unique_cp_line,False,0,,scoped_zero_first_without_resolved_sibling
control_point,100001,100001,SONGS,NULL,CP Songs,5,CPIND8,indication,0;1;100001,0;1;100001,1,code_line_station_control_point,3,0,1,100001,,I,5,5,,16,16,0,component_codeline,5,16,1=1NWK:NORMAL SWITCH INDICATION|2=TK:OS TRACK INDICATION|3=1RWK:REVERSE SWITCH INDICATION|4=EAK:EAK|5=EGK:EASTBOUND SIGNAL INDICATION|6=WAAK:WAAK|7=WGK:WESTBOUND SIGNAL INDICATION|8=POK:POWER OFF INDICATION,component_codeline+unique_cp_line,False,0,,scoped_zero_first_without_resolved_sibling
control_point,100001,100001,SONGS,NULL,CP Songs,5,CPIND9,indication,0;1;100001,0;1;100001,1,code_line_station_control_point,3,0,1,100001,,I,5,5,,16,16,0,component_codeline,5,16,1=1NWK:NORMAL SWITCH INDICATION|2=TK:OS TRACK INDICATION|3=1RWK:REVERSE SWITCH INDICATION|4=EAK:EAK|5=EGK:EASTBOUND SIGNAL INDICATION|6=WAAK:WAAK|7=WGK:WESTBOUND SIGNAL INDICATION|8=POK:POWER OFF INDICATION,component_codeline+unique_cp_line,False,0,,scoped_zero_first_without_resolved_sibling
control_point,100001,100001,SONGS,NULL,CP Songs,5,ScadaAlarmReportingIndicationBit,indication,0;1;100001,0;1;100001,1,code_line_station_control_point,3,0,1,100001,,I,5,5,,16,16,0,component_codeline,5,16,1=1NWK:NORMAL SWITCH INDICATION|2=TK:OS TRACK INDICATION|3=1RWK:REVERSE SWITCH INDICATION|4=EAK:EAK|5=EGK:EASTBOUND SIGNAL INDICATION|6=WAAK:WAAK|7=WGK:WESTBOUND SIGNAL INDICATION|8=POK:POWER OFF INDICATION,component_codeline+unique_cp_line,False,0,,scoped_zero_first_without_resolved_sibling
control_point,100002,100002,DON,NULL,CP Don,5,CPCTL1,control,0;1;100002,0;1;100002,1,code_line_station_control_point,3,0,1,100002,,C,5,5,,24,24,0,component_codeline,5,24,1=1NWS:1 NORMAL SWITCH CONTROL|2=1RWS:1 REVERSE SWITCH CONTROL|3=3NWS:3 NORMAL SWITCH CONTROL|4=3RWS:3 REVERSE SWITCH CONTROL|5=2EGHS:2 EASTBOUND SIGNAL CONTROL|6=2WGHS:2 WESTBOUND SIGNAL CONTROL|7=4EGHS:4 EASTBOUND SIGNAL CONTROL|8=4WGHS:4 WESTBOUND SIGNAL CONTROL,component_codeline+unique_cp_line,False,0,,scoped_zero_first_without_resolved_sibling
control_point,100002,100002,DON,NULL,CP Don,5,CPCTL2,control,0;1;100002,0;1;100002,1,code_line_station_control_point,3,0,1,100002,,C,5,5,,24,24,0,component_codeline,5,24,1=1NWS:1 NORMAL SWITCH CONTROL|2=1RWS:1 REVERSE SWITCH CONTROL|3=3NWS:3 NORMAL SWITCH CONTROL|4=3RWS:3 REVERSE SWITCH CONTROL|5=2EGHS:2 EASTBOUND SIGNAL CONTROL|6=2WGHS:2 WESTBOUND SIGNAL CONTROL|7=4EGHS:4 EASTBOUND SIGNAL CONTROL|8=4WGHS:4 WESTBOUND SIGNAL CONTROL,component_codeline+unique_cp_line,False,0,,scoped_zero_first_without_resolved_sibling
control_point,100002,100002,DON,NULL,CP Don,5,CPCTL3,control,0;1;100002,0;1;100002,1,code_line_station_control_point,3,0,1,100002,,C,5,5,,24,24,0,component_codeline,5,24,1=1NWS:1 NORMAL SWITCH CONTROL|2=1RWS:1 REVERSE SWITCH CONTROL|3=3NWS:3 NORMAL SWITCH CONTROL|4=3RWS:3 REVERSE SWITCH CONTROL|5=2EGHS:2 EASTBOUND SIGNAL CONTROL|6=2WGHS:2 WESTBOUND SIGNAL CONTROL|7=4EGHS:4 EASTBOUND SIGNAL CONTROL|8=4WGHS:4 WESTBOUND SIGNAL CONTROL,component_codeline+unique_cp_line,False,0,,scoped_zero_first_without_resolved_sibling
control_point,100002,100002,DON,NULL,CP Don,5,CPCTL4,control,0;1;100002,0;1;100002,1,code_line_station_control_point,3,0,1,100002,,C,5,5,,24,24,0,component_codeline,5,24,1=1NWS:1 NORMAL SWITCH CONTROL|2=1RWS:1 REVERSE SWITCH CONTROL|3=3NWS:3 NORMAL SWITCH CONTROL|4=3RWS:3 REVERSE SWITCH CONTROL|5=2EGHS:2 EASTBOUND SIGNAL CONTROL|6=2WGHS:2 WESTBOUND SIGNAL CONTROL|7=4EGHS:4 EASTBOUND SIGNAL CONTROL|8=4WGHS:4 WESTBOUND SIGNAL CONTROL,component_codeline+unique_cp_line,False,0,,scoped_zero_first_without_resolved_sibling
control_point,100002,100002,DON,NULL,CP Don,5,CPCTL5,control,0;1;100002,0;1;100002,1,code_line_station_control_point,3,0,1,100002,,C,5,5,,24,24,0,component_codeline,5,24,1=1NWS:1 NORMAL SWITCH CONTROL|2=1RWS:1 REVERSE SWITCH CONTROL|3=3NWS:3 NORMAL SWITCH CONTROL|4=3RWS:3 REVERSE SWITCH CONTROL|5=2EGHS:2 EASTBOUND SIGNAL CONTROL|6=2WGHS:2 WESTBOUND SIGNAL CONTROL|7=4EGHS:4 EASTBOUND SIGNAL CONTROL|8=4WGHS:4 WESTBOUND SIGNAL CONTROL,component_codeline+unique_cp_line,False,0,,scoped_zero_first_without_resolved_sibling
