component_family,component_uid,parent_control_point_uid,component_name,component_secondary_name,component_detail_name,component_codeline,reference_column,reference_kind,raw_reference_value,raw_reference_part,part_index,reference_format,code_line_number,code_station_number,control_point_number,expected_word_type,code_line_name,code_line_limits,station_name,control_address,indication_address,candidate_assignment_count,candidate_bits,candidate_mnemonics,candidate_long_names,candidate_examples,scope_status
control_point,100001,100001,SONGS,NULL,CP Songs,5,CPIND7,indication,0;1;100001,0;1;100001,1,code_line_station_control_point,0,1,100001,I,,,,,,0,,,,,no_scope_candidates
control_point,100001,100001,SONGS,NULL,CP Songs,5,CPIND8,indication,0;1;100001,0;1;100001,1,code_line_station_control_point,0,1,100001,I,,,,,,0,,,,,no_scope_candidates
control_point,100001,100001,SONGS,NULL,CP Songs,5,CPIND9,indication,0;1;100001,0;1;100001,1,code_line_station_control_point,0,1,100001,I,,,,,,0,,,,,no_scope_candidates
control_point,100001,100001,SONGS,NULL,CP Songs,5,ScadaAlarmReportingIndicationBit,indication,0;1;100001,0;1;100001,1,code_line_station_control_point,0,1,100001,I,,,,,,0,,,,,no_scope_candidates
control_point,100002,100002,DON,NULL,CP Don,5,CPCTL1,control,0;1;100002,0;1;100002,1,code_line_station_control_point,0,1,100002,C,,,,,,0,,,,,no_scope_candidates
control_point,100002,100002,DON,NULL,CP Don,5,CPCTL2,control,0;1;100002,0;1;100002,1,code_line_station_control_point,0,1,100002,C,,,,,,0,,,,,no_scope_candidates
control_point,100002,100002,DON,NULL,CP Don,5,CPCTL3,control,0;1;100002,0;1;100002,1,code_line_station_control_point,0,1,100002,C,,,,,,0,,,,,no_scope_candidates
control_point,100002,100002,DON,NULL,CP Don,5,CPCTL4,control,0;1;100002,0;1;100002,1,code_line_station_control_point,0,1,100002,C,,,,,,0,,,,,no_scope_candidates
control_point,100002,100002,DON,NULL,CP Don,5,CPCTL5,control,0;1;100002,0;1;100002,1,code_line_station_control_point,0,1,100002,C,,,,,,0,,,,,no_scope_candidates
control_point,100002,100002,DON,NULL,CP Don,5,CPIND1,indication,18;1;100002,18;1;100002,1,code_line_station_control_point,18,1,100002,I,,,,,,0,,,,,no_scope_candidates
control_point,100002,100002,DON,NULL,CP Don,5,CPIND10,indication,0;1;100002,0;1;100002,1,code_line_station_control_point,0,1,100002,I,,,,,,0,,,,,no_scope_candidates
control_point,100002,100002,DON,NULL,CP Don,5,CPIND2,indication,17;1;100002,17;1;100002,1,code_line_station_control_point,17,1,100002,I,,,,,,0,,,,,no_scope_candidates
control_point,100002,100002,DON,NULL,CP Don,5,CPIND3,indication,20;1;100002,20;1;100002,1,code_line_station_control_point,20,1,100002,I,,,,,,0,,,,,no_scope_candidates
control_point,100002,100002,DON,NULL,CP Don,5,CPIND4,indication,19;1;100002,19;1;100002,1,code_line_station_control_point,19,1,100002,I,,,,,,0,,,,,no_scope_candidates
control_point,100002,100002,DON,NULL,CP Don,5,CPIND5,indication,0;1;100002,0;1;100002,1,code_line_station_control_point,0,1,100002,I,,,,,,0,,,,,no_scope_candidates
control_point,100002,100002,DON,NULL,CP Don,5,CPIND6,indication,0;1;100002,0;1;100002,1,code_line_station_control_point,0,1,100002,I,,,,,,0,,,,,no_scope_candidates
control_point,100002,100002,DON,NULL,CP Don,5,CPIND7,indication,0;1;100002,0;1;100002,1,code_line_station_control_point,0,1,100002,I,,,,,,0,,,,,no_scope_candidates
control_point,100002,100002,DON,NULL,CP Don,5,CPIND8,indication,0;1;100002,0;1;100002,1,code_line_station_control_point,0,1,100002,I,,,,,,0,,,,,no_scope_candidates
control_point,100002,100002,DON,NULL,CP Don,5,CPIND9,indication,0;1;100002,0;1;100002,1,code_line_station_control_point,0,1,100002,I,,,,,,0,,,,,no_scope_candidates
control_point,100002,100002,DON,NULL,CP Don,5,ScadaAlarmReportingIndicationBit,indication,0;1;100002,0;1;100002,1,code_line_station_control_point,0,1,100002,I,,,,,,0,,,,,no_scope_candidates
control_point,100003,100003,PULGAS,NULL,CP Pulgas,5,CPCTL1,control,0;1;100003,0;1;100003,1,code_line_station_control_point,0,1,100003,C,,,,,,0,,,,,no_scope_candidates
control_point,100003,100003,PULGAS,NULL,CP Pulgas,5,CPCTL2,control,0;1;100003,0;1;100003,1,code_line_station_control_point,0,1,100003,C,,,,,,0,,,,,no_scope_candidates
control_point,100003,100003,PULGAS,NULL,CP Pulgas,5,CPCTL3,control,0;1;100003,0;1;100003,1,code_line_station_control_point,0,1,100003,C,,,,,,0,,,,,no_scope_candidates
control_point,100003,100003,PULGAS,NULL,CP Pulgas,5,CPCTL4,control,0;1;100003,0;1;100003,1,code_line_station_control_point,0,1,100003,C,,,,,,0,,,,,no_scope_candidates
control_point,100003,100003,PULGAS,NULL,CP Pulgas,5,CPCTL5,control,0;1;100003,0;1;100003,1,code_line_station_control_point,0,1,100003,C,,,,,,0,,,,,no_scope_candidates
control_point,100003,100003,PULGAS,NULL,CP Pulgas,5,CPIND1,indication,9;1;100003,9;1;100003,1,code_line_station_control_point,9,1,100003,I,,,,,,0,,,,,no_scope_candidates
control_point,100003,100003,PULGAS,NULL,CP Pulgas,5,CPIND10,indication,0;1;100003,0;1;100003,1,code_line_station_control_point,0,1,100003,I,,,,,,0,,,,,no_scope_candidates
control_point,100003,100003,PULGAS,NULL,CP Pulgas,5,CPIND2,indication,8;1;100003,8;1;100003,1,code_line_station_control_point,8,1,100003,I,,,,,,0,,,,,no_scope_candidates
control_point,100003,100003,PULGAS,NULL,CP Pulgas,5,CPIND3,indication,13;1;100003,13;1;100003,1,code_line_station_control_point,13,1,100003,I,,,,,,0,,,,,no_scope_candidates
control_point,100003,100003,PULGAS,NULL,CP Pulgas,5,CPIND4,indication,11;1;100003,11;1;100003,1,code_line_station_control_point,11,1,100003,I,,,,,,0,,,,,no_scope_candidates
control_point,100003,100003,PULGAS,NULL,CP Pulgas,5,CPIND5,indication,0;1;100003,0;1;100003,1,code_line_station_control_point,0,1,100003,I,,,,,,0,,,,,no_scope_candidates
control_point,100003,100003,PULGAS,NULL,CP Pulgas,5,CPIND6,indication,0;1;100003,0;1;100003,1,code_line_station_control_point,0,1,100003,I,,,,,,0,,,,,no_scope_candidates
control_point,100003,100003,PULGAS,NULL,CP Pulgas,5,CPIND7,indication,0;1;100003,0;1;100003,1,code_line_station_control_point,0,1,100003,I,,,,,,0,,,,,no_scope_candidates
